Date;Food;Fertil;GPRH;Metal;Oil;Raw_Material;Temperature Anomalies;VIX;Euro_Dollars;Viande;Huile;Wheat;Sucre
1999-01-01;61;30,69129272695;48,8342170715332;30,09960504959;12,52;53,67950129833;0,51;26,25;1,1366;61,95;22,09;275,5;7,11
1999-02-01;58,4;31,80851940784;39,0224876403809;29,93318184288;12,01;53,78924723228;0,7;27,879999;1,1025;65,1;18,09;237,25;6,34
1999-03-01;57;33,9144970361;73,2886199951172;29,87394266472;14,68;53,81937070113;0,4;23,26;1,077;66,2;19,28;280,25;5,91
1999-04-01;55,8;32,34026906154;87,2042922973633;31,53309319072;17,31;53,7829720008;0,47;25,07;1,057;66,6;19,65;259;5,34
1999-05-01;55,4;32,39751371516;71,0502624511719;32,51382414052;17,72;55,23631595214;0,4;25,389999;1,0423;64,25;18,14;252,25;5
1999-06-01;54,6;32,16200374869;62,736930847168;31,73355365036;17,92;56,75070549463;0,41;21,09;1,0357;63,75;16,64;250;5,6
1999-07-01;52,6;31,57230684092;45,099365234375;34,24665893024;20,1;57,02732977182;0,4;24,639999;1,0707;64,22;15,27;263,75;5,98
1999-08-01;54,4;31,84524610166;42,6756210327148;35,01703141692;21,28;57,15510411929;0,36;24,450001;1,0564;66,85;17,51;264,75;6,82
1999-09-01;54,6;31,89005228102;55,731372833252;36,64032135461;23,8;57,79668874036;0,38;25,41;1,0684;68,28;17,05;275,75;6,99
1999-10-01;53,2;31,45145376912;57,7733764648438;36,30850950756;22,69;57,69650231149;0,34;22,200001;1,0551;72,22;16,83;255,75;6,88
1999-11-01;53,2;31,13630476637;44,1213226318359;36,56180407173;25;58,23595486231;0,35;24,18;1,0091;70,25;17,21;233;5,78
1999-12-01;51,9;31,25556446141;70,1758346557617;37,86154665793;26,1;57,90189511589;0,53;24,639999;1,0075;69,6;16,32;248,5;6,12
2000-01-01;52,6;32,76777739455;52,9664611816406;40,05483134732;27,26;57,80567166245;0,34;24,950001;0,9695;70,15;17,14;256,25;5,42
2000-02-01;52,3;34,58887293784;54,4604415893555;40,00468294708;29,37;58,54472134987;0,56;23,370001;0,9647;69,75;16,15;247;4,65
2000-03-01;52,8;34,39209444102;39,3818969726562;38,7908711575;29,84;58,70300529306;0,55;24,110001;0,9562;72,17;18,88;262,25;5,9
2000-04-01;53,4;33,60498045374;39,6601486206055;36,80181891427;25,72;59,1872791098;0,63;26,200001;0,9123;74,25;18,23;242,25;5,16
2000-05-01;53,6;34,71409561763;60,2037887573242;37,66883581047;28,79;58,56571660343;0,43;23,65;0,9379;67,78;16,32;274,75;7,55
2000-06-01;53,8;36,7355474486;50,0066833496094;37,28626163755;31,82;58,48608277203;0,39;19,540001;0,9526;67,47;16,24;259,5;8,5
2000-07-01;54;39,23529964015;39,5753021240234;38,18283526881;29,7;56,81733214863;0,4;20,74;0,9263;66,72;15,8;246,25;10,4
2000-08-01;53,2;41,03380482485;32,6047973632812;38,04919912806;31,26;57,29020633497;0,46;16,84;0,8888;66,22;16,28;250,75;10,56
2000-09-01;52,6;38,24312796086;44,666675567627;39,85122164567;33,88;54,33714378651;0,42;20,57;0,8839;69,08;16,04;265;9,77
2000-10-01;53,4;37,77506158906;58,182689666748;37,67860971363;33,11;54,05226642697;0,31;23,629999;0,8493;72,5;15,3;254,75;9,9
2000-11-01;53,8;35,40194812416;36,5154228210449;36,61588587022;34,42;53,09075001215;0,26;29,65;0,8724;72,17;15,41;256;9,75
2000-12-01;54,4;34,91894635924;39,0643768310547;38,00628388152;28,44;52,37076401555;0,33;26,85;0,9424;80,22;15,27;279,5;10,2
2001-01-01;53,8;38,4967372105;38,0375137329102;38,30008728469;29,59;51,15862709054;0,47;22,02;0,9365;77,55;15,33;273;9,95
2001-02-01;54,2;36,2427289742;33,4735946655273;37,86784249779;29,61;51,1307993995;0,41;28,35;0,9234;82,38;16,28;265;9,28
2001-03-01;55,1;35,33039230713;41,9615516662598;36,3765433986;27,25;50,17301430757;0,65;28,639999;0,8778;78,35;16,43;255;7,75
2001-04-01;54,6;34,8187682154;38,0690307617188;35,82407988345;27,49;49,65838301551;0,59;25,48;0,8881;77,1;15,42;272,75;9,5
2001-05-01;55,4;33,14610994021;46,6959495544434;36,63165039991;28,63;49,05929554268;0,62;22,639999;0,8459;74,62;15,3;267;8,55
2001-06-01;54,8;33,33365321578;52,2373085021973;35,0963659136;27,6;48,4689328263;0,55;19,059999;0,85;71,53;15,48;246,75;9,59
2001-07-01;56,5;33,40458480309;50,5754890441895;33,68626152871;26,43;47,46969301853;0,6;21,620001;0,8762;71,88;19,17;278,5;7,93
2001-08-01;56,6;33,65440593297;48,3959503173828;32,66504422612;27,37;47,53817070201;0,61;24,92;0,9124;71,8;17,13;278;7,91
2001-09-01;55,4;34,44211576145;289,940124511719;31,79740724375;26,2;47,83406171884;0,54;31,93;0,9117;66,22;15,79;270,75;6,7
2001-10-01;54,2;34,67109437593;303,585327148438;30,64935747626;22,17;45,31715194685;0,52;33,560001;0,8998;66,22;15,92;293,25;6,74
2001-11-01;54,7;35,04724744611;215,274429321289;31,61900550445;19,64;44,88042550394;0,71;23,84;0,8965;67,22;16,51;281,5;7,68
2001-12-01;54,3;35,7718470082;179,275985717773;32,08343754207;19,39;45,14044329003;0,57;23,799999;0,8909;68,17;15,69;289;7,39
2002-01-01;53,5;36,1952189256;131,618515014648;32,81834038697;19,72;45,37850585831;0,71;21,09;0,8585;73,75;15,6;286;6,38
2002-02-01;51,7;35,94843346132;106,102386474609;33,03548773288;20,72;46,37975926833;0,79;21,59;0,8686;70,38;15,73;267,25;5,99
2002-03-01;52;34,60676189209;112,14501953125;33,98256786236;24,53;46,86476060023;0,82;17,4;0,8718;70,42;16,79;285;5,93
2002-04-01;51;33,47202070401;114,565628051758;33,62521508215;26,18;47,58627415593;0,58;21,91;0,9002;66,7;16,47;261,75;5,68
2002-05-01;50,5;33,81916561764;118,064300537109;33,17493691349;27,04;48,09204115622;0,59;19,98;0,9339;60,48;18,88;282,25;5,9
