Date;Food;Fertil;GPRH;Metal;Oil;Raw_Material;Temperature Anomalies;VIX;Euro_Dollars;Viande;Huile;Wheat;Sucre;Food_lag
01/01/1999;61;30,69129273;48,83421707;30,09960505;12,52;53,6795013;0,51;26,25;1,1366;61,95;22,09;275,5;7,11;62,1
01/02/1999;58,4;31,80851941;39,02248764;29,93318184;12,01;53,78924723;0,7;27,879999;1,1025;65,1;18,09;237,25;6,34;61
01/03/1999;57;33,91449704;73,28862;29,87394266;14,68;53,8193707;0,4;23,26;1,077;66,2;19,28;280,25;5,91;58,4
01/04/1999;55,8;32,34026906;87,2042923;31,53309319;17,31;53,782972;0,47;25,07;1,057;66,6;19,65;259;5,34;57
01/05/1999;55,4;32,39751372;71,05026245;32,51382414;17,72;55,23631595;0,4;25,389999;1,0423;64,25;18,14;252,25;5;55,8
01/06/1999;54,6;32,16200375;62,73693085;31,73355365;17,92;56,75070549;0,41;21,09;1,0357;63,75;16,64;250;5,6;55,4
01/07/1999;52,6;31,57230684;45,09936523;34,24665893;20,1;57,02732977;0,4;24,639999;1,0707;64,22;15,27;263,75;5,98;54,6
01/08/1999;54,4;31,8452461;42,67562103;35,01703142;21,28;57,15510412;0,36;24,450001;1,0564;66,85;17,51;264,75;6,82;52,6
01/09/1999;54,6;31,89005228;55,73137283;36,64032135;23,8;57,79668874;0,38;25,41;1,0684;68,28;17,05;275,75;6,99;54,4
01/10/1999;53,2;31,45145377;57,77337646;36,30850951;22,69;57,69650231;0,34;22,200001;1,0551;72,22;16,83;255,75;6,88;54,6
01/11/1999;53,2;31,13630477;44,12132263;36,56180407;25;58,23595486;0,35;24,18;1,0091;70,25;17,21;233;5,78;53,2
01/12/1999;51,9;31,25556446;70,17583466;37,86154666;26,1;57,90189512;0,53;24,639999;1,0075;69,6;16,32;248,5;6,12;53,2
01/01/2000;52,6;32,76777739;52,96646118;40,05483135;27,26;57,80567166;0,34;24,950001;0,9695;70,15;17,14;256,25;5,42;51,9
01/02/2000;52,3;34,58887294;54,46044159;40,00468295;29,37;58,54472135;0,56;23,370001;0,9647;69,75;16,15;247;4,65;52,6
01/03/2000;52,8;34,39209444;39,38189697;38,79087116;29,84;58,70300529;0,55;24,110001;0,9562;72,17;18,88;262,25;5,9;52,3
01/04/2000;53,4;33,60498045;39,66014862;36,80181891;25,72;59,18727911;0,63;26,200001;0,9123;74,25;18,23;242,25;5,16;52,8
01/05/2000;53,6;34,71409562;60,20378876;37,66883581;28,79;58,5657166;0,43;23,65;0,9379;67,78;16,32;274,75;7,55;53,4
01/06/2000;53,8;36,73554745;50,00668335;37,28626164;31,82;58,48608277;0,39;19,540001;0,9526;67,47;16,24;259,5;8,5;53,6
01/07/2000;54;39,23529964;39,57530212;38,18283527;29,7;56,81733215;0,4;20,74;0,9263;66,72;15,8;246,25;10,4;53,8
01/08/2000;53,2;41,03380482;32,60479736;38,04919913;31,26;57,29020633;0,46;16,84;0,8888;66,22;16,28;250,75;10,56;54
01/09/2000;52,6;38,24312796;44,66667557;39,85122165;33,88;54,33714379;0,42;20,57;0,8839;69,08;16,04;265;9,77;53,2
01/10/2000;53,4;37,77506159;58,18268967;37,67860971;33,11;54,05226643;0,31;23,629999;0,8493;72,5;15,3;254,75;9,9;52,6
01/11/2000;53,8;35,40194812;36,51542282;36,61588587;34,42;53,09075001;0,26;29,65;0,8724;72,17;15,41;256;9,75;53,4
01/12/2000;54,4;34,91894636;39,06437683;38,00628388;28,44;52,37076402;0,33;26,85;0,9424;80,22;15,27;279,5;10,2;53,8
01/01/2001;53,8;38,49673721;38,03751373;38,30008728;29,59;51,15862709;0,47;22,02;0,9365;77,55;15,33;273;9,95;54,4
01/02/2001;54,2;36,24272897;33,47359467;37,8678425;29,61;51,1307994;0,41;28,35;0,9234;82,38;16,28;265;9,28;53,8
01/03/2001;55,1;35,33039231;41,96155167;36,3765434;27,25;50,17301431;0,65;28,639999;0,8778;78,35;16,43;255;7,75;54,2
01/04/2001;54,6;34,81876822;38,06903076;35,82407988;27,49;49,65838302;0,59;25,48;0,8881;77,1;15,42;272,75;9,5;55,1
01/05/2001;55,4;33,14610994;46,69594955;36,6316504;28,63;49,05929554;0,62;22,639999;0,8459;74,62;15,3;267;8,55;54,6
01/06/2001;54,8;33,33365322;52,2373085;35,09636591;27,6;48,46893283;0,55;19,059999;0,85;71,53;15,48;246,75;9,59;55,4
