date;sp_gsci;oil;temp;food
01/01/1990;198.83;22.86;0.35;64.1
01/02/1990;195.94;22.11;0.41;64.5
01/03/1990;198.61;20.39;0.76;63.8
01/04/1990;193.94;18.43;0.53;65.8
01/05/1990;189.81;18.20;0.47;64.4
01/06/1990;184.18;16.70;0.42;63.7
01/07/1990;196.80;18.45;0.39;62.5
01/08/1990;225.45;27.31;0.39;61.5
01/09/1990;270.19;33.51;0.33;61.0
01/10/1990;249.37;36.04;0.43;61.1
01/11/1990;227.61;32.33;0.47;61.9
01/12/1990;219.97;27.28;0.42;61.9
01/01/1991;194.45;25.23;0.42;60.8
01/02/1991;191.23;20.48;0.46;61.5
01/03/1991;194.13;19.90;0.36;62.0
01/04/1991;196.00;20.83;0.52;60.7
01/05/1991;192.89;21.23;0.40;60.6
01/06/1991;185.45;20.19;0.49;61.0
01/07/1991;191.89;21.40;0.42;61.8
01/08/1991;192.64;21.69;0.37;61.4
01/09/1991;193.93;21.89;0.35;62.1
01/10/1991;198.55;23.23;0.29;64.3
01/11/1991;190.10;22.46;0.30;64.4
01/12/1991;176.92;19.50;0.28;64.1
01/01/1992;182.35;18.79;0.45;64.8
01/02/1992;181.78;19.01;0.43;65.7
01/03/1992;184.74;18.92;0.44;66.1
01/04/1992;190.12;20.23;0.30;64.5
01/05/1992;193.02;20.98;0.32;64.8
01/06/1992;190.89;22.39;0.27;65.6
01/07/1992;186.69;21.78;0.11;64.4
01/08/1992;186.40;21.34;0.11;62.8
01/09/1992;187.05;21.88;0.04;63.5
01/10/1992;182.41;21.69;0.05;61.5
01/11/1992;180.10;20.34;0.04;62.4
01/12/1992;181.01;19.41;0.24;61.0
01/01/1993;183.35;19.03;0.36;61.3
01/02/1993;186.50;20.09;0.38;61.2
01/03/1993;190.17;20.32;0.41;62.9
01/04/1993;187.67;20.25;0.31;62.5
01/05/1993;181.22;19.95;0.35;62.0
01/06/1993;175.97;19.09;0.33;61.5
01/07/1993;174.06;17.89;0.27;61.9
01/08/1993;175.84;18.01;0.22;60.5
01/09/1993;177.36;17.50;0.18;60.9
01/10/1993;171.42;18.15;0.22;61.2
01/11/1993;165.07;16.61;0.07;63.0
01/12/1993;163.55;14.52;0.27;64.3
01/01/1994;177.35;15.03;0.26;64.5
01/02/1994;171.23;14.78;0.07;64.1
01/03/1994;170.39;14.68;0.38;64.5
01/04/1994;174.56;16.42;0.36;63.7
01/05/1994;176.76;17.89;0.40;65.6
01/06/1994;180.08;19.06;0.40;65.2
01/07/1994;182.52;19.66;0.31;63.9
01/08/1994;170.26;18.38;0.30;66.2
01/09/1994;171.42;17.45;0.33;69.3
01/10/1994;179.04;17.72;0.42;69.9
01/11/1994;175.17;18.07;0.45;73.2
01/12/1994;180.76;17.16;0.42;73.1
01/01/1995;176.00;18.04;0.56;72.9
01/02/1995;177.11;18.57;0.73;74.4
01/03/1995;179.06;18.54;0.50;75.1
01/04/1995;183.63;19.90;0.45;74.0
01/05/1995;180.81;19.74;0.37;74.0
01/06/1995;174.49;18.45;0.46;75.1
01/07/1995;177.34;17.33;0.42;79.5
01/08/1995;180.53;18.02;0.50;78.0
01/09/1995;181.08;18.23;0.40;78.3
01/10/1995;183.12;17.43;0.44;80.4
01/11/1995;187.93;17.99;0.45;79.8
01/12/1995;203.50;19.03;0.33;78.0
01/01/1996;196.81;18.86;0.25;77.0
01/02/1996;197.70;19.09;0.46;77.5
01/03/1996;206.66;21.33;0.35;78.6
01/04/1996;209.33;23.50;0.26;80.8
01/05/1996;203.87;21.17;0.39;82.4
01/06/1996;206.52;20.42;0.34;80.5
01/07/1996;194.65;21.30;0.33;80.2
01/08/1996;198.52;21.90;0.34;79.9
01/09/1996;205.22;23.97;0.25;76.9
01/10/1996;204.92;24.88;0.21;74.1
01/11/1996;218.98;23.71;0.29;72.5
01/12/1996;215.26;25.23;0.38;71.4
01/01/1997;204.91;25.13;0.34;70.9
01/02/1997;188.82;22.18;0.44;71.0
01/03/1997;192.43;20.97;0.50;72.8
01/04/1997;196.77;19.70;0.42;73.4
01/05/1997;197.37;20.82;0.42;72.8
01/06/1997;185.17;19.26;0.53;70.2
01/07/1997;192.29;19.66;0.50;68.4
01/08/1997;195.77;19.95;0.54;69.8
01/09/1997;201.73;19.80;0.61;70.0
01/10/1997;208.15;21.33;0.64;69.8
01/11/1997;188.69;20.19;0.58;70.3
01/12/1997;175.62;18.33;0.63;68.0
01/01/1998;174.26;16.72;0.60;67.4
01/02/1998;165.10;16.06;0.87;67.6
01/03/1998;166.72;15.12;0.67;67.4
01/04/1998;163.90;15.35;0.76;66.8
01/05/1998;158.27;14.91;0.70;66.4
01/06/1998;155.20;13.72;0.72;64.2
01/07/1998;143.60;14.17;0.74;64.3
01/08/1998;136.96;13.47;0.71;62.4
01/09/1998;153.77;15.03;0.52;61.9
01/10/1998;148.49;14.46;0.48;62.7
01/11/1998;133.48;13.00;0.42;62.6
01/12/1998;133.02;11.35;0.59;62.1
01/01/1999;135.27;12.52;0.51;61.0
01/02/1999;130.81;12.01;0.70;58.4
01/03/1999;153.94;14.68;0.40;57.0
01/04/1999;160.98;17.31;0.47;55.8
01/05/1999;152.22;17.72;0.40;55.4
01/06/1999;163.36;17.92;0.41;54.6
01/07/1999;169.17;20.10;0.40;52.6
01/08/1999;181.62;21.28;0.36;54.4
01/09/1999;191.06;23.80;0.38;54.6
