"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2022","63.81","74.50","74.50","61.60","262.20K","-15.18%"
"11/01/2022","75.23","73.18","78.64","71.30","882.84K","2.76%"
"10/01/2022","73.21","65.50","74.28","65.15","596.35K","18.92%"
"09/01/2022","61.56","68.90","69.98","60.75","850.72K","-8.79%"
"08/01/2022","67.49","65.72","68.29","60.19","621.07K","2.54%"
"07/01/2022","65.82","65.76","66.24","55.32","237.00K","0.21%"
"06/01/2022","65.68","75.58","80.17","63.87","218.35K","-13.10%"
"05/01/2022","75.58","80.20","80.55","74.52","135.12K","-5.47%"
"04/01/2022","79.95","66.80","82.97","65.77","115.33K","19.76%"
"03/01/2022","66.76","71.00","75.15","66.54","286.49K","-5.69%"
"02/01/2022","70.79","64.61","73.96","62.66","412.10K","9.92%"
"01/01/2022","64.40","57.01","66.15","56.36","442.70K","13.84%"
"12/01/2021","56.57","55.60","58.66","51.21","592.30K","2.26%"
"11/01/2021","55.32","60.45","61.44","54.82","536.60K","-8.47%"
"10/01/2021","60.44","58.60","63.29","57.67","461.01K","3.23%"
"09/01/2021","58.55","58.73","59.92","54.25","656.87K","-0.34%"
"08/01/2021","58.75","63.73","64.00","56.42","770.58K","-7.54%"
"07/01/2021","63.54","62.81","66.94","58.67","244.38K","0.68%"
"06/01/2021","63.11","61.50","69.00","53.10","392.80K","3.44%"
"05/01/2021","61.01","57.76","64.42","57.41","208.08K","6.16%"
"04/01/2021","57.47","48.86","58.88","47.56","243.59K","17.79%"
"03/01/2021","48.79","49.04","54.05","46.24","433.50K","-0.02%"
"02/01/2021","48.80","43.35","49.95","42.02","367.54K","12.75%"
"01/01/2021","43.28","41.57","43.85","40.14","460.21K","4.24%"
"12/01/2020","41.52","37.36","41.69","36.42","672.48K","11.40%"
"11/01/2020","37.27","33.16","38.60","32.71","498.16K","12.12%"
"10/01/2020","33.24","33.30","34.46","31.57","404.20K","0.15%"
"09/01/2020","33.19","32.92","35.56","32.15","791.04K","1.00%"
"08/01/2020","32.86","30.48","34.04","30.25","717.67K","7.70%"
"07/01/2020","30.51","28.25","30.75","27.95","210.51K","7.81%"
"06/01/2020","28.30","27.89","29.01","27.25","174.65K","2.13%"
"05/01/2020","27.71","26.79","28.06","25.90","117.97K","3.43%"
"04/01/2020","26.79","27.37","28.24","25.30","188.55K","-2.62%"
"03/01/2020","27.51","29.10","30.47","25.21","502.43K","-5.27%"
"02/01/2020","29.04","30.67","32.69","28.72","482.38K","-5.38%"
