Ajd close;date
193.78;01/01/1985
188.23;01/02/1985
197.96;01/03/1985
187.42;01/04/1985
187.62;01/05/1985
180.05;01/06/1985
173.58;01/07/1985
176.51;01/08/1985
188.55;01/09/1985
201.02;01/10/1985
201.56;01/11/1985
196.04;01/12/1985
173.94;01/01/1986
162.92;01/02/1986
160.04;01/03/1986
163.50;01/04/1986
154.10;01/05/1986
152.45;01/06/1986
150.35;01/07/1986
163.95;01/08/1986
158.25;01/09/1986
160.24;01/10/1986
160.77;01/11/1986
159.27;01/12/1986
165.55;01/01/1987
154.38;01/02/1987
164.63;01/03/1987
170.18;01/04/1987
172.38;01/05/1987
175.77;01/06/1987
177.81;01/07/1987
173.81;01/08/1987
173.61;01/09/1987
174.25;01/10/1987
171.64;01/11/1987
164.33;01/12/1987
166.63;01/01/1988
163.79;01/02/1988
171.20;01/03/1988
175.01;01/04/1988
177.99;01/05/1988
171.27;01/06/1988
169.45;01/07/1988
167.56;01/08/1988
162.18;01/09/1988
166.99;01/10/1988
174.01;01/11/1988
184.41;01/12/1988
181.64;01/01/1989
186.39;01/02/1989
197.62;01/03/1989
197.61;01/04/1989
188.54;01/05/1989
189.27;01/06/1989
179.55;01/07/1989
183.95;01/08/1989
193.22;01/09/1989
189.81;01/10/1989
192.05;01/11/1989
207.25;01/12/1989
198.83;01/01/1990
195.94;01/02/1990
198.61;01/03/1990
193.94;01/04/1990
189.81;01/05/1990
184.18;01/06/1990
196.80;01/07/1990
225.45;01/08/1990
270.19;01/09/1990
249.37;01/10/1990
227.61;01/11/1990
219.97;01/12/1990
194.45;01/01/1991
191.23;01/02/1991
194.13;01/03/1991
196.00;01/04/1991
192.89;01/05/1991
185.45;01/06/1991
191.89;01/07/1991
192.64;01/08/1991
193.93;01/09/1991
198.55;01/10/1991
190.10;01/11/1991
176.92;01/12/1991
182.35;01/01/1992
181.78;01/02/1992
184.74;01/03/1992
190.12;01/04/1992
193.02;01/05/1992
190.89;01/06/1992
186.69;01/07/1992
186.40;01/08/1992
187.05;01/09/1992
182.41;01/10/1992
180.10;01/11/1992
181.01;01/12/1992
183.35;01/01/1993
186.50;01/02/1993
190.17;01/03/1993
187.67;01/04/1993
181.22;01/05/1993
175.97;01/06/1993
174.06;01/07/1993
175.84;01/08/1993
177.36;01/09/1993
171.42;01/10/1993
165.07;01/11/1993
163.55;01/12/1993
177.35;01/01/1994
171.23;01/02/1994
170.39;01/03/1994
174.56;01/04/1994
176.76;01/05/1994
180.08;01/06/1994
182.52;01/07/1994
170.26;01/08/1994
171.42;01/09/1994
179.04;01/10/1994
175.17;01/11/1994
180.76;01/12/1994
176.00;01/01/1995
177.11;01/02/1995
179.06;01/03/1995
183.63;01/04/1995
180.81;01/05/1995
174.49;01/06/1995
177.34;01/07/1995
180.53;01/08/1995
181.08;01/09/1995
183.12;01/10/1995
187.93;01/11/1995
203.50;01/12/1995
196.81;01/01/1996
197.70;01/02/1996
206.66;01/03/1996
209.33;01/04/1996
203.87;01/05/1996
206.52;01/06/1996
194.65;01/07/1996
198.52;01/08/1996
205.22;01/09/1996
204.92;01/10/1996
218.98;01/11/1996
215.26;01/12/1996
204.91;01/01/1997
188.82;01/02/1997
192.43;01/03/1997
196.77;01/04/1997
197.37;01/05/1997
185.17;01/06/1997
192.29;01/07/1997
195.77;01/08/1997
